Source,Target,weight
706244489464123392,387813577,1.0
706244489464123392,2448553039,1.0
706244489464123392,221475570,1.0
252124868,49709806,1.0
788058554,541764461,1.0
912583795,337913586,1.0
912583795,128627725,1.0
325875562,1381035156,1.0
325875562,19921268,1.0
3397533639,780829149950726144,1.0
3397533639,356962840,1.0
3397533639,704999960,1.0
3397533639,3397533639,1.0
3397533639,4237932478,1.0
3397533639,84974211,1.0
3397533639,613576506,1.0
3397533639,1202875051,1.0
992193380,2338854559,1.0
992193380,453511327,1.0
992193380,756140398792192000,1.0
992193380,704138585893691397,1.0
992193380,294116508,1.0
236383742,460423713,1.0
236383742,727905589469302786,1.0
236383742,60556835,1.0
236383742,2888722614,1.0
236383742,773360511358529536,1.0
236383742,20399700,1.0
236383742,399664117,1.0
236383742,2530987138,1.0
721737068322271232,190054680,1.0
721737068322271232,421772747,1.0
721737068322271232,3111009699,1.0
721737068322271232,1694109350,1.0
721737068322271232,482933199,1.0
721737068322271232,716800970,1.0
721737068322271232,719215656260866048,1.0
721737068322271232,314268822,1.0
721737068322271232,2391736411,1.0
721737068322271232,2982868572,1.0
3274720530,710636057130209281,1.0
3274720530,711355959608614912,1.0
3274720530,3689270355,1.0
3274720530,387813577,1.0
3274720530,3499636752,1.0
3274720530,34955929,1.0
3274720530,4866494759,1.0
3274720530,3355655206,1.0
3274720530,3121370115,1.0
3274720530,4249418631,1.0
3274720530,441197202,1.0
24787367,170575426,1.0
24787367,1284564762,1.0
24787367,2398300866,1.0
24787367,743239346409570304,1.0
24787367,2480274133,1.0
24787367,117767052,1.0
24787367,747445513738326017,1.0
24787367,23685037,1.0
24787367,2765142236,1.0
24787367,331156072,1.0
24787367,396198196,1.0
24787367,3325053703,1.0
24787367,362102766,1.0
24787367,220170317,1.0
24787367,2881583811,1.0
518359041,16295078,1.0
518359041,21351342,1.0
518359041,560198159,1.0
518359041,379392631,1.0
518359041,985668980,1.0
518359041,2721886694,1.0
702951403514236929,265245636,1.0
702951403514236929,1129767884,1.0
702951403514236929,781334565990305792,1.0
753993480125358080,787684256499769344,1.0
3110449363,718214940251840512,1.0
3110449363,774757798026485760,1.0
3110449363,1080576949,1.0
3110449363,2806253876,1.0
2989323842,515818683,1.0
2989323842,2458526748,1.0
2989323842,733647579070730240,1.0
2989323842,787430971821797377,1.0
2989323842,554117316,1.0
2989323842,3309323125,1.0
2989323842,20517889,1.0
2989323842,36048950,1.0
2989323842,921994520,1.0
3395964711,611047103,1.0
3395964711,781933094345539584,1.0
3395964711,708771615966822401,1.0
3395964711,1247491603,1.0
3395964711,758788609415655424,1.0
3395964711,28796846,1.0
3395964711,763916861411102720,1.0
3395964711,47925659,1.0
3395964711,60030161,1.0
3395964711,269418215,1.0
742048209057374209,742048209057374209,1.0
742048209057374209,2902986795,1.0
742048209057374209,3308239298,1.0
235326480,21095477,1.0
24544802,4758446941,1.0
24544802,3413240373,1.0
24544802,719674474472210432,1.0
24544802,717868897144180737,1.0
709085805613072384,427190975,1.0
1606441885,1606441885,1.0
1606441885,2651123542,1.0
50382036,824006152585379840,1.0
50382036,3082103783,1.0
211499356,4237958309,1.0
211499356,169707964,1.0
211499356,369029151,1.0
211499356,40028472,1.0
211499356,254145194,1.0
211499356,17131970,1.0
211499356,49785617,1.0
211499356,718319754,1.0
211499356,1539095702,1.0
211499356,2547715294,1.0
211499356,762456727186841600,1.0
