userID	username	All	User	Friend	Network	Content	Sentiment	Temporal	LanguageAgnostic
2271057959		0.43	0.23	0.42	0.41	0.5	0.57	0.35	0.41	
97669212		0.23	0.16	0.26	0.38	0.52	0.49	0.46	0.19	
547946524		0.45	0.31	0.46	0.37	0.4	0.4	0.24	0.33	
196331731		0.17	0.02	0.14	0.13	0.3	0.3	0.08	0.13	
2888722614		0.23	0.19	0.24	0.21	0.2	0.31	0.2	0.15	
168547637		0.52	0.31	0.53	0.41	0.42	0.38	0.12	0.39	
27433174		0.44	0.28	0.25	0.35	0.31	0.18	0.28	0.29	
733638588714352640		0.28	0.12	0.44	0.25	0.43	0.44	0.21	0.29	
711683486713843713		0.49	0.15	0.59	0.2	0.28	0.21	0.28	0.54	
47339383		0.37	0.23	0.22	0.23	0.34	0.23	0.22	0.24	
755707584896720897		0.36	0.23	0.4	0.31	0.39	0.12	0.3	0.28	
22874752		0.37	0.46	0.26	0.31	0.37	0.45	0.38	0.35	
3946780887		0.49	0.4	0.27	0.13	0.31	0.35	0.4	0.32	
506855302		0.15	0.19	0.39	0.26	0.37	0.17	0.21	0.17	
383583763		0.34	0.24	0.27	0.35	0.47	0.35	0.34	0.32	
722121281315934208		0.33	0.32	0.23	0.43	0.53	0.23	0.28	0.3	
47806130		0.48	0.6	0.34	0.32	0.35	0.29	0.18	0.47	
2565791769		0.27	0.17	0.29	0.23	0.35	0.35	0.12	0.26	
414329713		0.09	0.02	0.14	0.18	0.35	0.17	0.12	0.07	
708182479		0.13	0.09	0.18	0.04	0.27	0.12	0.06	0.14	
2381707450		0.42	0.32	0.4	0.38	0.4	0.43	0.62	0.34	
739161514599284736		0.23	0.27	0.3	0.19	0.19	0.38	0.24	0.18	
731592373038370817		0.28	0.49	0.24	0.31	0.21	0.16	0.27	0.33	
340512594		0.27	0.16	0.46	0.11	0.44	0.35	0.21	0.28	
1535717894		0.14	0.04	0.2	0.05	0.24	0.25	0.24	0.18	
701288723		0.23	0.34	0.13	0.3	0.25	0.27	0.05	0.28	
718978155327803392		0.38	0.51	0.4	0.46	0.43	0.31	0.4	0.26	
1978165356		0.34	0.15	0.22	0.39	0.4	0.22	0.09	0.31	
788058554		0.23	0.31	0.17	0.26	0.32	0.06	0.15	0.2	
20558020		0.26	0.12	0.38	0.27	0.21	0.3	0.18	0.21	
780649087846658048		0.22	0.46	0.4	0.4	0.47	0.33	0.48	0.31	
768523651297775616		0.19	0.2	0.35	0.32	0.31	0.32	0.06	0.31	
3061797379		0.47	0.23	0.27	0.44	0.51	0.2	0.27	0.23	
58466926		0.34	0.1	0.29	0.38	0.41	0.16	0.11	0.23	
745541136094093312		0.32	0.21	0.21	0.18	0.19	0.26	0.21	0.36	
4786255520		0.3	0.06	0.29	0.26	0.4	0.39	0.09	0.15	
289689943		0.34	0.1	0.3	0.33	0.41	0.69	0.18	0.22	
2781193266		0.59	0.45	0.61	0.63	0.585	0.54	0.42	0.65	
61236989		0.44	0.25	0.28	0.47	0.51	0.42	0.56	0.35	
2760044804		0.39	0.25	0.32	0.32	0.49	0.51	0.39	0.38	
2344344060		0.33	0.05	0.3	0.31	0.38	0.26	0.16	0.19	
1925001980		0.4	0.25	0.38	0.1	0.51	0.23	0.29	0.39	
1508484296		0.26	0.27	0.41	0.17	0.44	0.28	0.29	0.18	
14055791		0.35	0.09	0.28	0.3	0.42	0.35	0.26	0.3	
1972334744		0.36	0.14	0.19	0.27	0.46	0.19	0.11	0.31	
1275763346		0.19	0.07	0.16	0.21	0.42	0.44	0.41	0.28	
586921591		0.44	0.47	0.46	0.49	0.47	0.44	0.54	0.45	
787343990626496512		0.34	0.19	0.21	0.23	0.47	0.19	0.13	0.25	
1244896429		0.14	0.2	0.13	0.1	0.32	0.14	0.17	0.09	
757041854126891008		0.31	0.28	0.21	0.18	0.24	0.22	0.11	0.23	
2780478996		0.64	0.57	0.6	0.7	0.66	0.55	0.53	0.69	
768819871362588673		0.23	0.32	0.39	0.2	0.46	0.22	0.32	0.32	
16054602		0.34	0.25	0.18	0.36	0.22	0.2	0.23	0.23	
769941491657547776		0.55	0.38	0.74	0.43	0.36	0.16	0.37	0.53	
3497865853		0.49	0.49	0.64	0.46	0.52	0.49	0.43	0.5	
709907306255810560		0.56	0.41	0.58	0.61	0.5	0.43	0.34	0.55	
16963034		0.56	0.28	0.57	0.39	0.45	0.4	0.54	0.53	
884877037		0.26	0.09	0.29	0.27	0.37	0.53	0.18	0.27	
488706702		0.25	0.15	0.28	0.53	0.51	0.38	0.37	0.32	
758274218337378304		0.29	0.34	0.53	0.22	0.36	0.45	0.36	0.38	
210978450		0.54	0.45	0.59	0.57	0.34	0.38	0.18	0.54	
2504981221		0.48	0.17	0.31	0.51	0.44	0.43	0.2	0.39	
859893019		0.43	0.1	0.52	0.23	0.4	0.3	0.24	0.36	
3049702774		0.34	0.15	0.36	0.31	0.35	0.34	0.32	0.35	
3316153363		0.34	0.07	0.13	0.12	0.26	0.22	0.39	0.21	
137552604		0.37	0.19	0.35	0.24	0.43	0.35	0.34	0.32	
1093687140		0.49	0.44	0.57	0.35	0.53	0.71	0.62	0.34	
4085864957		0.39	0.33	0.44	0.44	0.46	0.54	0.68	0.34	
783040259437101057		0.26	0.1	0.16	0.34	0.46	0.26	0.27	0.19	
487840668		0.25	0.0	0.17	0.1	0.29	0.36	0.08	0.2	
725108395783688192		0.45	0.23	0.32	0.43	0.38	0.39	0.22	0.22	
157199202		0.34	0.12	0.24	0.41	0.39	0.2	0.29	0.36	
786171249823129600		0.4	0.33	0.35	0.47	0.4	0.49	0.32	0.48	
875801995		0.33	0.36	0.35	0.39	0.47	0.48	0.46	0.23	
126599757		0.21	0.04	0.17	0.18	0.14	0.12	0.29	0.16	
2586506586		0.41	0.4	0.33	0.27	0.54	0.12	0.49	0.32	
3700121652		0.32	0.25	0.59	0.43	0.4	0.59	0.4	0.42	
107502320		0.45	0.42	0.42	0.4	0.57	0.55	0.54	0.39	
792796887204192256		0.18	0.16	0.34	0.32	0.51	0.32	0.18	0.23	
874879436		0.41	0.34	0.49	0.16	0.36	0.28	0.26	0.39	
565188105		0.5	0.17	0.44	0.15	0.46	0.31	0.1	0.3	
3945784187		0.48	0.63	0.57	0.26	0.46	0.31	0.37	0.5	
720378783996358656		0.48	0.45	0.47	0.45	0.59	0.45	0.65	0.37	
2494734018		0.34	0.31	0.26	0.15	0.45	0.19	0.17	0.33	
1944440994		0.49	0.24	0.59	0.22	0.3	0.19	0.19	0.52	
703317142696030208		0.3	0.11	0.33	0.45	0.39	0.15	0.24	0.37	
708552860703678464		0.22	0.19	0.34	0.25	0.37	0.38	0.27	0.24	
2738798022		0.49	0.23	0.47	0.748333333333	0.3	0.82	0.65	0.47	
1278440773		0.64	0.44	0.64	0.61	0.53	0.26	0.3	0.52	
623683951		0.37	0.27	0.29	0.23	0.5	0.41	0.52	0.22	
874752151		0.58	0.21	0.64	0.62	0.31	0.41	0.41	0.6	
14524566		0.25	0.14	0.16	0.14	0.2	0.06	0.28	0.3	
42531027		0.56	0.18	0.62	0.45	0.4	0.21	0.37	0.59	
757390775176921088		0.44	0.47	0.41	0.47	0.65	0.69	0.39	0.62	
792618388136796160		0.26	0.06	0.07	0.07	0.39	0.2	0.18	0.09	
2164876369		0.37	0.45	0.17	0.22	0.25	0.22	0.17	0.31	
415224570		0.16	0.14	0.35	0.04	0.24	0.31	0.44	0.15	
18757886		0.6	0.42	0.5	0.4	0.46	0.3725	0.28	0.4	
601076863		0.38	0.54	0.29	0.22	0.4	0.26	0.17	0.34	
2720895981		0.41	0.6	0.5	0.35	0.41	0.59	0.37	0.46	
36959190		0.35	0.09	0.19	0.32	0.46	0.23	0.27	0.21	
864927037		0.46	0.59	0.36	0.4	0.39	0.31	0.45	0.43	
745681473416605696		0.57	0.63	0.59	0.48	0.52	0.45	0.45	0.52	
88296327		0.35	0.28	0.36	0.28	0.52	0.46	0.37	0.3	
176115868		0.29	0.28	0.16	0.46	0.35	0.37	0.31	0.21	
712820185338658816		0.14	0.05	0.13	0.3	0.21	0.11	0.38	0.16	
139768199		0.34	0.16	0.35	0.35	0.28	0.28	0.33	0.25	
28487370		0.22	0.25	0.17	0.23	0.26	0.34	0.29	0.17	
2562236263		0.65	0.44	0.55	0.4	0.67	0.57	0.57	0.38	
317975293		0.35	0.2	0.17	0.37	0.4175	0.14	0.28	0.2	
3271790814		0.44	0.37	0.29	0.44	0.36	0.28	0.09	0.27	
88237533		0.42	0.26	0.42	0.47	0.51	0.41	0.3	0.43	
748351285703761920		0.36	0.21	0.29	0.26	0.44	0.29	0.14	0.26	
2349297128		0.34	0.37	0.51	0.24	0.47	0.5	0.45	0.36	
1191654624		0.44	0.09	0.58	0.37	0.44	0.39	0.26	0.4	
294213625		0.34	0.2	0.32	0.25	0.35	0.35	0.24	0.2	
34370231		0.58	0.24	0.59	0.58	0.44	0.4	0.47	0.43	
531244825		0.36	0.19	0.27	0.45	0.41	0.37	0.3	0.26	
233154866		0.51	0.14	0.39	0.38	0.46	0.45	0.23	0.28	
2582736318		0.35	0.34	0.24	0.3	0.42	0.31	0.14	0.28	
31366271		0.12	0.1	0.11	0.2	0.21	0.08	0.22	0.11	
3378536763		0.53	0.43	0.56	0.6	0.51	0.52	0.6	0.52	
782079714592641024		0.39	0.18	0.36	0.29	0.51	0.25	0.37	0.29	
940827752		0.35	0.2	0.44	0.2	0.5	0.55	0.22	0.34	
3535919123		0.36	0.21	0.26	0.19	0.3	0.24	0.06	0.17	
796523629		0.45	0.16	0.41	0.3	0.58	0.54	0.22	0.41	
711394650490314752		0.32	0.45	0.25	0.28	0.46	0.33	0.23	0.32	
792084793680879616		0.44	0.39	0.57	0.32	0.53	0.39	0.37	0.47	
3317439242		0.43	0.17	0.3	0.24	0.43	0.34	0.23	0.37	
768640002238451712		0.33	0.45	0.38	0.06	0.33	0.35	0.72	0.2	
55923746		0.45	0.26	0.38	0.5	0.64	0.54	0.15	0.27	
2262874359		0.35	0.35	0.39	0.3	0.48	0.55	0.2	0.34	
2716100047		0.46	0.56	0.52	0.49	0.6	0.4	0.21	0.51	
3397533639		0.4	0.47	0.29	0.26	0.48	0.3	0.22	0.35	
3973458072		0.22	0.14	0.23	0.13	0.42	0.21	0.18	0.12	
261807710		0.26	0.03	0.28	0.19	0.37	0.29	0.05	0.16	
2358466422		0.31	0.1	0.24	0.24	0.38	0.28	0.09	0.21	
27259780		0.26	0.09	0.3	0.3	0.52	0.54	0.24	0.23	
2816884906		0.31	0.16	0.22	0.47	0.48	0.19	0.16	0.21	
1346996612		0.25	0.44	0.14	0.28	0.383333333333	0.1	0.2	0.23	
3033091670		0.17	0.1	0.18	0.16	0.29	0.38	0.12	0.17	
992193380		0.51	0.71	0.31	0.22	0.45	0.31	0.07	0.39	
27695678		0.43	0.26	0.41	0.39	0.47	0.42	0.39	0.31	
