Id	username	All	User	Friend	Network	Content	Sentiment	Temporal	LanguageAgnostic
1426710036		0.45	0.63	0.4	0.49	0.52	0.38	0.32	0.49	
2210025992		0.34	0.34	0.38	0.23	0.32	0.5	0.39	0.28	
237730551		0.49	0.33	0.45	0.49	0.46	0.75	0.54	0.38	
380285402		0.51	0.18	0.54	0.34	0.48	0.49	0.23	0.31	
765180716804104192		0.28	0.1	0.13	0.11	0.33	0.18	0.12	0.18	
3845857817		0.43	0.36	0.39	0.39	0.6	0.32	0.13	0.37	
80196616		0.28	0.27	0.4	0.36	0.46	0.11	0.11	0.2	
16140387		0.54	0.16	0.73	0.64	0.67	0.63	0.516666666667	0.5	
2424555062		0.32	0.43	0.46	0.19	0.43	0.32	0.31	0.31	
3055008884		0.55	0.29	0.74	0.59	0.78	0.71	0.71	0.45	
274207288		0.5	0.17	0.4	0.33	0.48	0.29	0.3	0.42	
772028642360569857		0.37	0.05	0.23	0.33	0.37	0.25	0.08	0.23	
217415964		0.49	0.32	0.62	0.51	0.51	0.57	0.63	0.42	
1219415456		0.37	0.04	0.2	0.45	0.39	0.36	0.01	0.19	
15754281		0.52	0.32	0.51	0.43	0.45	0.12	0.46	0.33	
785879686203187200		0.26	0.08	0.19	0.23	0.29	0.3	0.12	0.22	
157851432		0.29	0.17	0.36	0.37	0.26	0.3	0.24	0.22	
342737639		0.4	0.4	0.37	0.18	0.17	0.21	0.28	0.41	
3315464599		0.35	0.38	0.29	0.38	0.5	0.19	0.15	0.2	
531375704		0.28	0.11	0.44	0.32	0.42	0.3	0.25	0.25	
886169604		0.27	0.05	0.32	0.25	0.45	0.204	0.17	0.22	
730344214056284161		0.38	0.43	0.49	0.22	0.27	0.27	0.26	0.35	
40773807		0.29	0.22	0.44	0.34	0.43	0.35	0.15	0.24	
1496571493		0.37	0.32	0.28	0.42	0.41	0.14	0.46	0.37	
769941491657547776		0.55	0.31	0.49	0.23	0.43	0.3	0.34	0.42	
3304021160		0.24	0.28	0.36	0.24	0.37	0.33	0.3	0.23	
16963034		0.41	0.33	0.5	0.74	0.57	0.47	0.31	0.38	
481857885		0.32	0.34	0.22	0.19	0.45	0.35	0.43	0.39	
35786732		0.41	0.26	0.26	0.13	0.3	0.13	0.23	0.21	
64279537		0.27	0.05	0.3	0.3	0.47	0.23	0.11	0.2	
18363255		0.42	0.5	0.26	0.26	0.4	0.23	0.28	0.29	
